FIPS,% Smokers,% Obese,% Physically Inactive,% Excessive Drinking,% Unemployed,% Children in Poverty,% Uninsured,PCP Rate,Average Daily PM2.5,% Bachelor or Higher,Age-Adjusted Mortality
20029,16.902233279,34.8,32.0,14.896340781,4.513467605,17.1,10.036101083,43.38865,8.8,22.5,386.7
20031,15.558310531,32.6,27.0,16.167257816,6.2625810781,12.3,7.7278830374,95.41985,8.9,22.9,344.0
20033,14.32557967,32.1,29.8,15.236267861,3.3542976939,17.0,13.008130081,108.51871999999999,7.4,18.6,590.1
20035,18.400971421,36.4,27.4,14.391816253,4.5817669173,17.5,11.084070005,53.090419999999995,8.9,20.1,446.5
20037,18.882136649,34.6,28.2,17.390576112,4.9636037557,23.3,10.868203458,79.04735000000001,9.6,29.5,437.8
20039,15.343926379,34.9,27.9,13.938376444,4.1729893778,21.6,10.979649787,34.106410000000004,7.3,23.5,237.1
20041,17.019965244,32.2,30.5,16.796110122,4.6084434418,14.7,9.590454692,41.44434,9.0,22.1,375.0
20043,16.219632153,34.1,33.5,15.947436071,4.0887850467,16.9,9.6924355777,25.65089,9.6,19.3,326.2
20045,15.11177343,26.2,18.1,21.861790204,3.5862468729,11.5,9.8241190579,84.70772,9.8,50.4,268.8
20047,15.720453002,36.2,30.2,14.396351871,3.125,14.3,13.48362399,33.69272,7.7,17.9,416.6
20049,16.029266048,34.0,27.6,12.924667169,5.2805280528,26.6,13.47826087,38.38772,8.4,15.0,537.2
20051,16.424324903,31.7,23.7,19.249542809,3.1757151197,11.8,9.0811213715,62.00696,7.9,34.8,323.3
20053,14.455207655,34.1,30.1,17.573745282,4.2097752408,12.2,8.9481199429,47.29623,8.3,20.4,403.8
20055,17.577239806,37.4,26.1,14.093040216,3.1944786788,19.0,17.50451305,53.88221,7.9,17.1,318.3
20057,16.916794296,32.4,29.0,15.38290066,3.2865931386,16.1,18.906780225,49.224000000000004,7.8,17.6,330.8
20059,20.13911819,33.8,29.0,16.108257759,4.3215515424,15.5,8.1074655254,50.7634,9.3,19.5,367.7
20061,18.09620679,35.2,26.0,17.745364377,5.8153721025,16.4,8.5621726362,32.40616,8.9,21.9,435.1
20063,15.03968534,28.4,25.4,15.220050545,2.5850340136,15.8,11.11665005,189.39394,7.4,22.7,362.7
20065,14.538870645,29.8,29.9,14.781040468,4.9710024855,16.2,11.347150259,77.19027,7.4,26.2,282.3
20067,16.582949919,34.2,24.9,15.186166827,3.7661311562,17.4,18.009197448,64.65796,7.5,15.4,304.0
20069,13.724577484,37.6,26.8,16.21936813,2.3378141438,9.9,15.495391705,16.30523,7.7,21.0,342.2
20071,14.149446182,32.4,27.0,15.430967093,2.300109529,17.9,14.733840304,75.18797,6.9,29.0,629.7
20073,16.645742124,34.8,31.6,13.916350291,5.1771117166,22.0,10.352187834,48.04612,8.4,19.6,447.0
20075,17.350211415,39.3,26.2,15.324927043,2.684144819,18.5,22.652965904,40.42037,6.9,18.2,376.5
20077,16.273309084,35.8,37.5,14.891707822,3.861003861,20.1,12.649534781,51.57298,8.7,17.1,490.2
20079,14.787615491,31.2,25.2,14.329699317,4.3764185532,12.5,10.284952628,88.38708,9.2,31.0,350.2
20081,16.488340441,34.4,23.3,15.368688871,2.6851450845,14.2,19.015280136,24.606299999999997,7.7,16.3,213.6
